IdTrans;ID_CATASTRO;IDENTIFICADOR;Codigo;CODIGO_CALLE;CODIGO_POSTAL_AUXILIAR;NRO_RENTA;CALLE_NOCOD;NUMERACION_CALLE;PISO;BARRIO;DEPARTAMENTO;ESQUINA_MEDIAL;SUPERFICIE_TERRENO;COEFICIENTE_FRENTE_FONDO;PORCENTAJE_COPROPIEDAD;DESIGNACION_OFICIAL;FOLIO1;ANO1;FOLIO2;ANO2;CUENTA_LOTEO;NOMBRE_ESTABLECIMIENTO;NRO_MATRICULA_FOLIO_REAL;BALDIO_EDIFICADO;BASE_IMPONIBLE;TASACION_TERRENO;NRO_ESCRITURA;REGISTRO;DATO1;DATO2;DATO3;METROS_FRENTE;FRENTE_CONTRIBUCION;TORRE;COEF_IRREGULARIDAD;VALOR_TERRENO;VALOR_EDIFICADO;EJIDO;FEC_ESCRITURA;CODIGO_POSTAL_AMPLIADO;CONDICION_TERRENO;METROS_FONDO;UNIDADES_LOCATIVAS;CODIGO_POSTAL_SUFIJO;Fecha;LIQUIDA;CLAVE_BIEN;EXENCION;FechaAlta;DEP;PED;PUE;CIR;SEC;MAN;PAR;PH;DV;DOMINIO;FechaBaja;MOF;LOF;Descuento
185876;77; ;71; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;1;0;0;;2001-01-01 00:00:00.000;0;1;0
185877;78; ;72; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;2;0;0;;2001-01-01 00:00:00.000;0;2;0
185878;79; ;73; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;3;0;0;;2001-01-01 00:00:00.000;0;3;0
185879;83; ;76; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;7;0;0;;2001-01-01 00:00:00.000;0;7;0
185880;84; ;77; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;8;0;0;;2001-01-01 00:00:00.000;0;8;0
185881;13; ;75; ;5131;;PUBLICA;S/N;;;; ;644,8;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;1;0;0;;2001-01-01 00:00:00.000;2;1;0
185882;60; ;56; ;5131;;PUBLICA;S/N;;;; ;564,83;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;11;0;0;;2001-01-01 00:00:00.000;6;11;0
185883;4; ;4; ;5131;;PUBLICA;S/N;;;; ;650,2;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;6;0;0;;2001-01-01 00:00:00.000;1;6;0
185884;5; ;5; ;5131;;PUBLICA;S/N;;;; ;470;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;8;0;0;;2001-01-01 00:00:00.000;1;8;0
185885;9; ;8; ;5131;;PUBLICA;S/N;;;; ;480,4;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;1;5;0;0;;2001-01-01 00:00:00.000;1;5;0
185886;11; ;10; ;5131;;PUBLICA;S/N;;;; ;551,45;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;5;0;0;;2001-01-01 00:00:00.000;2;5;0
185887;12; ;11; ;5131;;PUBLICA;S/N;;;; ;795,45;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;9;0;0;;2001-01-01 00:00:00.000;2;9;0
185888;15; ;14; ;5131;;PUBLICA;S/N;;;; ;489,35;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;3;0;0;;2001-01-01 00:00:00.000;2;3;0
185889;16; ;15; ;5131;;PUBLICA;S/N;;;; ;485,65;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;2;2;0;0;;2001-01-01 00:00:00.000;2;2;0
185890;29; ;28; ;5131;;PUBLICA;S/N;;;; ;600,4;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;13;0;0;;2001-01-01 00:00:00.000;4;13;0
185891;30; ;29; ;5131;;PUBLICA;S/N;;;; ;486,56;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;2;0;0;;2001-01-01 00:00:00.000;4;2;0
185892;39; ;36; ;5131;;PUBLICA;S/N;;;; ;584,38;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;15;0;0;;2001-01-01 00:00:00.000;4;15;0
185893;41; ;38; ;5131;;PUBLICA;S/N;;;; ;735;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;4;6;0;0;;2001-01-01 00:00:00.000;4;6;0
185894;49; ;46; ;5131;;PUBLICA;S/N;;;; ;495,75;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;5;2;0;0;;2001-01-01 00:00:00.000;5;2;0
185895;51; ;48; ;5131;;PUBLICA;S/N;;;; ;701,62;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;5;0;0;;2001-01-01 00:00:00.000;6;5;0
185896;55; ;52; ;5131;;PUBLICA;S/N;;;; ;336,33;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;6;0;0;;2001-01-01 00:00:00.000;6;6;0
185897;56; ;52; ;5131;;PUBLICA;S/N;;;; ;191,41;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;7;0;0;;2001-01-01 00:00:00.000;6;7;0
185898;59; ;55; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;3;0;0;;2001-01-01 00:00:00.000;6;3;0
185899;61; ;57; ;5131;;PUBLICA;S/N;;;; ;597,92;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;6;8;0;0;;2001-01-01 00:00:00.000;6;8;0
185900;66; ;62; ;5131;;PUBLICA;S/N;;;; ;560,32;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;7;5;0;0;;2001-01-01 00:00:00.000;7;5;0
185901;64; ;60; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;7;3;0;0;;2001-01-01 00:00:00.000;7;3;0
185902;68; ;63; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185903;69; ;64; ;5131;;PUBLICA;S/N;;;; ;0;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;0;0;0;;2001-01-01 00:00:00.000;0;0;0
185904;80; ;74; ;5131;;PUBLICA;S/N;;;; ;240;0;0; ; ; ; ; ; ; ; ; ;0;0; ; ; ; ; ;0;0; ;0;0;0; ;1900-01-01 00:00:00.000; ; ;0;0; ;NULL;S; ; ;18/2/2020;0;0;0;0;0;0;7;0;0;;2001-01-01 00:00:00.000;0;7;0
