Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;IdTrans;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;9900;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000570;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4941;NULL;NULL;NULL;2500000570;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000569;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4942;NULL;NULL;NULL;2500000569;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;9900;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000568;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4943;NULL;NULL;NULL;2500000568;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;11300;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000567;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4944;NULL;NULL;NULL;2500000567;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000566;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4945;NULL;NULL;NULL;2500000566;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;5800;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000565;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4946;NULL;NULL;NULL;2500000565;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;11/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000564;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4947;NULL;NULL;NULL;2500000564;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
124;11/1/2024 00:00;D;PAGO 2023 006 AUAU;NULL;NULL;211,04;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011407;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4948;NULL;NULL;NULL;300011407;NULL;NULL;NULL;NULL;NULL;11475;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
124;11/1/2024 00:00;D;PAGO 2023 005 AUAU;NULL;NULL;223,33;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011406;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4949;NULL;NULL;NULL;300011406;NULL;NULL;NULL;NULL;NULL;11475;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
124;11/1/2024 00:00;D;PAGO 2023 004 AUAU;NULL;NULL;236,04;0;CO;NULL;11/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011405;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4950;NULL;NULL;NULL;300011405;NULL;NULL;NULL;NULL;NULL;11475;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
