Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000032;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000035;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000033;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000036;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000034;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000037;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000036;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000039;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000037;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000040;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000038;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000041;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000039;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000042;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000040;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000043;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000041;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000044;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000043;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000046;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000044;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000047;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000046;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000049;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000048;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000051;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000049;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000052;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000050;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000053;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
