IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24364; ;0000100;000055; ;10205722;2018; ;HR16885364N; ; ; ;NISSAN KICKS ADVANCE CVT; ;NULL; ;AC296NF; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2018-01-10 00:00:00.000; ;0,00;0,00;2021-01-15 00:00:00.000
24365; ;0000116;000056; ;04119ZF;2017; ;EV2E JJ060569; ; ; ;FORD RANGER DC 4X2 XL 2.5L N; ;NULL; ;AC162EF; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2017-12-18 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24366; ;0000117;000057; ;02480577;2018; ;HRUF180691029; ; ; ;CHEVROLET S10 2.8 4X2 LS; ;NULL; ;AC982NC; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2018-07-17 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24367; ;0000118;000059; ;02817AV;2010; ;310A20119632197; ; ; ;FIAT SIENA ATTRACTIVE 1.4 BENZINA; ;NULL; ;JCS549; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2010-08-27 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24368; ;0000119;000060; ;04405592;2006; ;178E80117043100; ; ; ;FIAT UNO FIRE 1242 MPI 8V; ;NULL; ;FOL089; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2006-06-21 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24369; ;0000120;000061; ;02402535;2010; ;T80007850; ; ; ;CHEVROLET CLASSIC 1.4 N LT; ;NULL; ;JJO133; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2010-11-15 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24370; ;0000063;000062; ;03068AD;2018; ;2GD-C389951; ; ; ;TOYOTA HILUX 4X2 D/C DX 2.4 TDI 6 M/T; ;NULL; ;AD195GZ; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2018-10-10 00:00:00.000; ;0,00;0,00;2024-11-01 00:00:00.000
24371; ;0000078;000063; ;0454669;2018; ;I036491; ; ; ;MOTOMEL S2; ;NULL; ;A083RTJ; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2018-07-10 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24372; ;0000122;000065; ;04119XX;2015; ;QW2P GJ369294; ; ; ;FORD RANGER2 DC 4X2 XL SAFETY 2.2L DSL; ;NULL; ;PDP551; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2015-09-03 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24373; ;0000100;000067; ;04717204;2004; ;30777163; ; ; ; ; ;NULL; ;EIF544; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2004-01-15 00:00:00.000; ;0,00;0,00;2020-10-28 00:00:00.000
